#separator:tab
#html:true
#columns:Front	Back
<ruby>色々<rt>いろいろ</rt></ruby>	いろいろだ<br>いろいろじゃない<br>いろいろで<br>いろいろだった<br>いろいろじゃなかった<br>Various; メニューは色々です。(The menu has various options.)
<ruby>簡単<rt>かんたん</rt></ruby>	かんたんだ<br>かんたんじゃない<br>かんたんで<br>かんたんだった<br>かんたんじゃなかった<br>Easy; この問題は簡単です。(This question is easy.)
<ruby>大変<rt>たいへん</rt></ruby>	たいへんだ<br>たいへんじゃない<br>たいへんで<br>たいへんだった<br>たいへんじゃなかった<br>Hard; 仕事が大変です。(Work is tough.)
<ruby>大切<rt>たいせつ</rt></ruby>	たいせつだ<br>たいせつじゃない<br>たいせつで<br>たいせつだった<br>たいせつじゃなかった<br>Important; 家族が大切です。(Family is important.)
<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>	だいじょうぶだ<br>だいじょうぶじゃない<br>だいじょうぶで<br>だいじょうぶだった<br>だいじょうぶじゃなかった<br>Fine/Ok; 大丈夫です。(I'm fine.)
<ruby>無理<rt>むり</rt></ruby>	むりだ<br>むりじゃない<br>むりで<br>むりだった<br>むりじゃなかった<br>Impossible; 今日は無理です。(Today is impossible for me.)
<ruby>無駄<rt>むだ</rt></ruby>	むだだ<br>むだじゃない<br>むだで<br>むだだった<br>むだじゃなかった<br>Useless; その努力は無駄です。(That effort is wasted.)
<ruby>同じ<rt>おなじ</rt></ruby>	おなじだ<br>おなじじゃない<br>おなじで<br>おなじだった<br>おなじじゃなかった<br>Same; 私たちは同じクラスです。(We are in the same class.)
<ruby>心配<rt>しんぱい</rt></ruby>	しんぱいだ<br>しんぱいじゃない<br>しんぱいで<br>しんぱいだった<br>しんぱいじゃなかった<br>Worry; 天気が心配です。(I'm worried about the weather.)
<ruby>真面目<rt>まじめ</rt></ruby>	まじめだ<br>まじめじゃない<br>まじめで<br>まじめだった<br>まじめじゃなかった<br>Serious; 彼は真面目です。(He is serious/diligent.)
<ruby>熱心<rt>ねっしん</rt></ruby>	ねっしんだ<br>ねっしんじゃない<br>ねっしんで<br>ねっしんだった<br>ねっしんじゃなかった<br>Enthusiastic; 彼女は勉強に熱心です。(She is enthusiastic about studying.)
<ruby>十分<rt>じゅうぶん</rt></ruby>	じゅうぶんだ<br>じゅうぶんじゃない<br>じゅうぶんで<br>じゅうぶんだった<br>じゅうぶんじゃなかった<br>Enough; これで十分です。(This is enough.)
だめ	だめだ<br>だめじゃない<br>だめで<br>だめだった<br>だめじゃなかった<br>Not good; それはだめです。(That's no good.)
<ruby>楽しみ<rt>たのしみ</rt></ruby>	たのしみだ<br>たのしみじゃない<br>たのしみで<br>たのしみだった<br>たのしみじゃなかった<br>Look forward to; 旅行が楽しみです。(I'm looking forward to the trip.)
<ruby>複雑<rt>ふくざつ</rt></ruby>	ふくざつだ<br>ふくざつじゃない<br>ふくざつで<br>ふくざつだった<br>ふくざつじゃなかった<br>Complicated; この問題は複雑です。(This problem is complicated.)
<ruby>変<rt>へん</rt></ruby>	へんだ<br>へんじゃない<br>へんで<br>へんだった<br>へんじゃなかった<br>Strange; その音は変です。(That sound is strange.)
<ruby>幸せ<rt>しあわせ</rt></ruby>	しあわせだ<br>しあわせじゃない<br>しあわせで<br>しあわせだった<br>しあわせじゃなかった<br>Happy; 今、幸せです。(I'm happy now.)
<ruby>楽<rt>らく</rt></ruby>	らくだ<br>らくじゃない<br>らくで<br>らくだった<br>らくじゃなかった<br>Easy work; この仕事は楽です。(This job is easy/comfortable.)
<ruby>安全<rt>あんぜん</rt></ruby>	あんぜんだ<br>あんぜんじゃない<br>あんぜんで<br>あんぜんだった<br>あんぜんじゃなかった<br>Safe; この道は安全です。(This road is safe.)
<ruby>丁寧<rt>ていねい</rt></ruby>	ていねいだ<br>ていねいじゃない<br>ていねいで<br>ていねいだった<br>ていねいじゃなかった<br>Polite; 彼女は丁寧です。(She is polite/courteous.)
<ruby>危険<rt>きけん</rt></ruby>	きけんだ<br>きけんじゃない<br>きけんで<br>きけんだった<br>きけんじゃなかった<br>Dangerous; この場所は危険です。(This place is dangerous.)
いや	いやだ<br>いやじゃない<br>いやで<br>いやだった<br>いやじゃなかった<br>Not like/not want; 行くのはいやです。(I don't want to go.)
