#separator:tab
#html:true
#columns:Front	Back	Tags	Deck
住みます	すみます, すむ, すまない, すんで／た, すめます, すもう, Live; 東京に住みます。(I live in Tokyo.)	verb	Japanese::Verbs::Tier1_Essential
働きます	はたらきます, はたらく, はたらかない, はたらいて／た, はたらけます, はたらこう, Work; 会社で働きます。(I work at a company.)	verb	Japanese::Verbs::Tier1_Essential
休みます	やすみます, やすむ, やすまない, やすんで／だ, やすめます, やすもう, Rest/Absent; 今日は休みます。(I'll take the day off today.)	verb	Japanese::Verbs::Tier1_Essential
終わります	おわります, おわる, おわらない, おわって／た, おわれます, おわろう, Finish; 仕事が終わります。(Work finishes.)	verb	Japanese::Verbs::Tier1_Essential
送ります	おくります, おくる, おくらない, おくって／た, おくれます, おくろう, Send; メールを送ります。(I send an email.)	verb	Japanese::Verbs::Tier1_Essential
もらいます	もらいます, もらう, もらわない, もらって／た, もらえます, もらおう, Get/receive; プレゼントをもらいます。(I receive a present.)	verb	Japanese::Verbs::Tier1_Essential
かかります	かかります, かかる, かからない, かかって／た, ×, ×, It takes/Cost; 一時間かかります。(It takes one hour.)	verb	Japanese::Verbs::Tier1_Essential
遊びます	あそびます, あそぶ, あそばない, あそんで／だ, あそべます, あそぼう, Play/Go out; 公園で遊びます。(I play in the park.)	verb	Japanese::Verbs::Tier1_Essential
持ちます	もちます, もつ, もたない, もって／た, もてます, もとう, Hold; かばんを持ちます。(I hold the bag.)	verb	Japanese::Verbs::Tier1_Essential
置きます	おきます, おく, おかない, おいて／た, おけます, おこう, Put; 机の上に置きます。(I put it on the desk.)	verb	Japanese::Verbs::Tier1_Essential
作ります	つくります, つくる, つくらない, つくって／た, つくれます, つくろう, Make; 料理を作ります。(I make food.)	verb	Japanese::Verbs::Tier1_Essential
いります	いります, いる, いらない, ×, ×, ×, Need; お金がいります。(I need money.)	verb	Japanese::Verbs::Tier1_Essential
着きます	つきます, つく, つかない, ついて／た, つけます, つこう, Arrive; 駅に着きます。(I arrive at the station.)	verb	Japanese::Verbs::Tier1_Essential
着ます	きます, きる, きない, きて／た, きられます, きよう, Put on clothes; 服を着ます。(I put on clothes.)	verb	Japanese::Verbs::Tier1_Essential
開けます	あけます, あける, あけない, あけて／た, あけられます, あけよう, Open; 窓を開けます。(I open the window.)	verb	Japanese::Verbs::Tier1_Essential
教えます	おしえます, おしえる, おしえない, おしえて／た, おしえられます, おしえよう, Teach; 日本語を教えます。(I teach Japanese.)	verb	Japanese::Verbs::Tier2_Common
降ります	おります, おりる, おりない, おりて／た, おりられます, おりよう, Get off; バスを降ります。(I get off the bus.)	verb	Japanese::Verbs::Tier2_Common
つけます	つけます, つける, つけない, つけて／た, つけられます, つけよう, Turn on; 電気をつけます。(I turn on the light.)	verb	Japanese::Verbs::Tier2_Common
電話をかけます	でんわをかけます, かける, かけない, かけて／た, かけられます, かけよう, Make a call; 友達に電話をかけます。(I make a call to my friend.)	verb	Japanese::Verbs::Tier2_Common
忘れます	わすれます, わすれる, わすれない, わすれて／た, わすれられます, わすれよう, Forget; 宿題を忘れます。(I forget my homework.)	verb	Japanese::Verbs::Tier2_Common
あげます	あげます, あげる, あげない, あげて／た, あげられます, あげよう, Give; 友達にプレゼントをあげます。(I give a present to my friend.)	verb	Japanese::Verbs::Tier2_Common
疲れます	つかれます, つかれる, つかれない, つかれて／た, つかれられます, つかれよう, Get tired; 仕事で疲れます。(I get tired from work.)	verb	Japanese::Verbs::Tier2_Common
出ます	でます, でる, でない, でて／た, でられます, でよう, Leave; 家を出ます。(I leave the house.)	verb	Japanese::Verbs::Tier2_Common
始めます	はじめます, はじめる, はじめない, はじめて／た, はじめられます, はじめよう, Start; 仕事を始めます。(I start work.)	verb	Japanese::Verbs::Tier2_Common
覚えます	おぼえます, おぼえる, おぼえない, おぼえて／た, おぼえられます, おぼえよう, Memorize; 単語を覚えます。(I memorize vocabulary.)	verb	Japanese::Verbs::Tier2_Common
調べます	しらべます, しらべる, しらべない, しらべて／た, しらべられます, しらべよう, Search/Look up; 言葉の意味を調べます。(I look up the meaning of a word.)	verb	Japanese::Verbs::Tier2_Common
考えます	かんがえます, かんがえる, かんがえない, かんがえて／た, かんがえられます, かんがえよう, Think; 将来のことを考えます。(I think about the future.)	verb	Japanese::Verbs::Tier2_Common
勉強します	べんきょうします, する, しない, して／した, できる, しよう, Study; 日本語を勉強します。(I study Japanese.)	verb	Japanese::Verbs::Tier2_Common
電話します	でんわします, する, しない, して／した, できる, しよう, Make a call; 母に電話します。(I call my mother.)	verb	Japanese::Verbs::Tier2_Common
歌います	うたいます, うたう, うたわない, うたって／た, うたえます, うたおう, Sing; カラオケで歌います。(I sing at karaoke.)	verb	Japanese::Verbs::Tier2_Common
はきます	はきます, はく, はかない, はいて／た, はけます, はこう, Put on (shoes); 靴をはきます。(I put on shoes.)	verb	Japanese::Verbs::Tier2_Common
切ります	きります, きる, きらない, きって／た, きれます, きろう, Cut; 紙を切ります。(I cut the paper.)	verb	Japanese::Verbs::Tier2_Common
貸します	かします, かす, かさない, かして／た, かせます, かそう, Lend/Rent; 本を貸します。(I lend a book.)	verb	Japanese::Verbs::Tier2_Common
習います	ならいます, ならう, ならわない, ならって／た, ならえます, ならおう, Learn; 日本語を習います。(I learn Japanese.)	verb	Japanese::Verbs::Tier2_Common
消します	けします, けす, けさない, けして／た, けせます, けそう, Turn off; 電気を消します。(I turn off the light.)	verb	Japanese::Verbs::Tier2_Common
立ちます	たちます, たつ, たたない, たって／た, たてます, たとう, Stand; ここに立ちます。(I stand here.)	verb	Japanese::Verbs::Tier2_Common
座ります	すわります, すわる, すわない, すわって／た, すわれます, すわろう, Sit; いすに座ります。(I sit on the chair.)	verb	Japanese::Verbs::Tier2_Common
急ぎます	いそぎます, いそぐ, いそがない, いそいで／だ, いそげます, いそごう, Hurry; 駅まで急ぎます。(I hurry to the station.)	verb	Japanese::Verbs::Tier2_Common
手伝います	てつだいます, てつだう, てつだわない, てつだって／た, てつだえます, てつだおう, Help; 母を手伝います。(I help my mother.)	verb	Japanese::Verbs::Tier2_Common
呼びます	よびます, よぶ, よばない, よんで／だ, よべます, よぼう, Call; 名前を呼びます。(I call out a name.)	verb	Japanese::Verbs::Tier2_Common
降ります	ふります, ふる, ふらない, ふって／た, ×, ×, Fall; 雨が降ります。(It rains.)	verb	Japanese::Verbs::Tier2_Common
売ります	うります, うる, うらない, うって／た, うれます, うろう, Sell; 車を売ります。(I sell the car.)	verb	Japanese::Verbs::Tier2_Common
思い出します	おもいだします, おもいだす, おもいださない, おもいだして／た, おもいだせます, おもいだそう, Remember; 昔のことを思い出します。(I remember the past.)	verb	Japanese::Verbs::Tier2_Common
なくします	なくします, なくす, なくさない, なくして／た, ×, ×, Lose; 鍵をなくしました。(I lost my key.)	verb	Japanese::Verbs::Tier2_Common
払います	はらいます, はらう, はらわない, はらって／た, はらえます, はらおう, Pay; お金を払います。(I pay money.)	verb	Japanese::Verbs::Tier2_Common
返します	かえします, かえす, かえさない, かえして／た, かせます, かえそう, Return; 本を返します。(I return the book.)	verb	Japanese::Verbs::Tier2_Common
脱ぎます	ぬぎます, ぬぐ, ぬがない, ぬいで／だ, ぬげます, ぬごう, Take off; 靴を脱ぎます。(I take off my shoes.)	verb	Japanese::Verbs::Tier2_Common
洗います	あらいます, あらう, あらわない, あらって／た, あらえます, あらおう, Wash; 手を洗います。(I wash my hands.)	verb	Japanese::Verbs::Tier2_Common
勝ちます	かちます, かつ, かたない, かって／た, かてます, かとう, Win; 試合に勝ちます。(I win the match.)	verb	Japanese::Verbs::Tier2_Common
動きます	うごきます, うごく, うごかない, うごいて／た, うごけます, うごこう, Move; 車が動きます。(The car moves.)	verb	Japanese::Verbs::Tier2_Common
渡ります	わたります, わたる, わたらない, わたって／た, わたれます, わたろう, Cross; 道を渡ります。(I cross the street.)	verb	Japanese::Verbs::Tier2_Common
曲がります	まがります, まがる, まがらない, まがって／た, まがれます, まがろう, Turn a corner; 右に曲がります。(I turn right.)	verb	Japanese::Verbs::Tier2_Common
直します	なおします, なおす, なおさない, なおして／た, なおせます, なおそう, Repair; 時計を直します。(I fix the clock.)	verb	Japanese::Verbs::Tier2_Common
探します	さがします, さがす, さがさない, さがして／た, さがせます, さがそう, Look for; 仕事を探します。(I look for a job.)	verb	Japanese::Verbs::Tier2_Common
間に合います	まにあいます, まにあう, まにあわない, まにあって／た, まにあえます, まにあおう, In time; 電車に間に合います。(I make it in time for the train.)	verb	Japanese::Verbs::Tier2_Common
借ります	かります, かりる, かりない, かりて／た, かりられます, かりよう, Borrow; 本を借ります。(I borrow a book.)	verb	Japanese::Verbs::Tier2_Common
閉めます	しめます, しめる, しめない, しめて／た, しめられます, しめよう, Close; ドアを閉めます。(I close the door.)	verb	Japanese::Verbs::Tier2_Common
捨てます	すてます, すてる, すてない, すてて／た, すてられます, すてよう, Throw away; ゴミを捨てます。(I throw away the trash.)	verb	Japanese::Verbs::Tier3_LessCommon
止めます	とめます, とめる, とめない, とめて／た, とめられます, とめよう, Stop; 車を止めます。(I stop the car.)	verb	Japanese::Verbs::Tier3_LessCommon
見せます	みせます, みせる, みせない, みせて／た, みせられます, みせよう, Show; 写真を見せます。(I show a photo.)	verb	Japanese::Verbs::Tier3_LessCommon
浴びます	あびます, あびる, あびない, あびて／た, あびられます, あびよう, Take a shower; シャワーを浴びます。(I take a shower.)	verb	Japanese::Verbs::Tier3_LessCommon
集めます	あつめます, あつめる, あつめない, あつめて／た, あつめられます, あつめよう, Collect; 切手を集めます。(I collect stamps.)	verb	Japanese::Verbs::Tier3_LessCommon
変えます	かえます, かえる, かえない, かえて／た, かえられます, かえよう, Change; 予定を変えます。(I change the plan.)	verb	Japanese::Verbs::Tier3_LessCommon
負けます	まけます, まける, まけない, まけて／た, まけられます, まけよう, Lose; 試合に負けます。(I lose the match.)	verb	Japanese::Verbs::Tier3_LessCommon
やめます	やめます, やめる, やめない, やめて／た, やめられます, やめよう, Quit; 仕事をやめます。(I quit my job.)	verb	Japanese::Verbs::Tier3_LessCommon
気をつけます	きをつけます, きをつける, きをつけない, きをつけて／た, きをつけられます, きをつけよう, Watch out; 車に気をつけます。(I watch out for cars.)	verb	Japanese::Verbs::Tier3_LessCommon
生まれます	うまれます, うまれる, うまれない, うまれて／た, うまれられます, うまれよう, Born; 東京で生まれました。(I was born in Tokyo.)	verb	Japanese::Verbs::Tier3_LessCommon
足ります	たります, たりる, たりない, たりて／た, ×, ×, It's enough; お金が足ります。(The money is enough.)	verb	Japanese::Verbs::Tier3_LessCommon
遅れます	おくれます, おくれる, おくれない, おくれて／た, おくれられます, おくれよう, Be late; 電車が遅れます。(The train is late.)	verb	Japanese::Verbs::Tier3_LessCommon
持ってきます	もってきます, もってくる, もってこない, もってきて／た, もってこられます, もってこよう, Bring a thing; 傘を持ってきます。(I bring an umbrella.)	verb	Japanese::Verbs::Tier3_LessCommon
料理します	りょうりします, する, しない, して／した, できる, しよう, Cook; 晩ご飯を料理します。(I cook dinner.)	verb	Japanese::Verbs::Tier3_LessCommon
運転します	うんてんします, する, しない, して／した, できる, しよう, Drive; 車を運転します。(I drive a car.)	verb	Japanese::Verbs::Tier3_LessCommon
洗濯します	せんたくします, する, しない, して／した, できる, しよう, Wash the clothes; 週末に洗濯します。(I do laundry on weekends.)	verb	Japanese::Verbs::Tier3_LessCommon
掃除します	そうじします, する, しない, して／した, できる, しよう, Clean up; 部屋を掃除します。(I clean the room.)	verb	Japanese::Verbs::Tier3_LessCommon
宿題します	しゅくだいします, する, しない, して／した, できる, しよう, Do homework; 毎日宿題します。(I do homework every day.)	verb	Japanese::Verbs::Tier3_LessCommon
買い物します	かいものします, する, しない, して／した, できる, しよう, Do shopping; スーパーで買い物します。(I shop at the supermarket.)	verb	Japanese::Verbs::Tier3_LessCommon
食事します	しょくじします, する, しない, して／した, できる, しよう, Have meal; レストランで食事します。(I have a meal at a restaurant.)	verb	Japanese::Verbs::Tier3_LessCommon
心配します	しんぱいします, する, しない, して／した, できる, しよう, Worry; 将来を心配します。(I worry about the future.)	verb	Japanese::Verbs::Tier3_LessCommon
練習します	れんしゅうします, する, しない, して／した, できる, しよう, Practice; ピアノを練習します。(I practice the piano.)	verb	Japanese::Verbs::Tier3_LessCommon
紹介します	しょうかいします, する, しない, して／した, できる, しよう, Introduce; 友達を紹介します。(I introduce a friend.)	verb	Japanese::Verbs::Tier3_LessCommon
準備します	じゅんびします, する, しない, して／した, できる, しよう, Prepare; 晩ご飯を準備します。(I prepare dinner.)	verb	Japanese::Verbs::Tier3_LessCommon
泳ぎます	およぎます, およぐ, およがない, およいで／た, およげます, およごう, Swim; プールで泳ぎます。(I swim in the pool.)	verb	Japanese::Verbs::Tier3_LessCommon
かぶります	かぶります, かぶる, かぶらない, かぶって／た, かぶれます, かぶろう, Put on a hat; 帽子をかぶります。(I put on a hat.)	verb	Japanese::Verbs::Tier3_LessCommon
吸います	すいます, すう, すわない, すって／た, すえます, すおう, Smoke; タバコを吸います。(I smoke.)	verb	Japanese::Verbs::Tier3_LessCommon
弾きます	ひきます, ひく, ひかない, ひいて／た, ひけます, ひこう, Play instrumental; ピアノを弾きます。(I play the piano.)	verb	Japanese::Verbs::Tier3_LessCommon
登ります	のぼります, のぼる, のぼらない, のぼって／た, のぼれます, のぼろう, Climb; 山に登ります。(I climb the mountain.)	verb	Japanese::Verbs::Tier3_LessCommon
泊まります	とまります, とまる, とまらない, とまって／た, とまれます, とまろう, Stay (at hotel); ホテルに泊まります。(I stay at a hotel.)	verb	Japanese::Verbs::Tier3_LessCommon
役に立ちます	やくにたちます, やくにたつ, やくにたたない, やくにたって／た, やくにたてます, やくにたとう, Useful; この本は役に立ちます。(This book is useful.)	verb	Japanese::Verbs::Tier3_LessCommon
年を取ります	としをとります, としをとる, としをとらない, としをとって／た, としをとれます, としをとろう, Get old; 毎年年を取ります。(I get older every year.)	verb	Japanese::Verbs::Tier3_LessCommon
めがねをかけます	めがねをかけます, かける, かけない, かけて／た, かけられます, かけよう, Put on glasses; 本を読むとき、めがねをかけます。(I put on glasses when I read a book.)	verb	Japanese::Verbs::Tier3_LessCommon
連れてきます	つれてきます, つれてくる, つれてこない, つれてきて／た, つれてこられます, つれてこよう, Take a person; 子供を連れてきます。(I bring my child along.)	verb	Japanese::Verbs::Tier3_LessCommon
テニスします	テニスします, する, しない, して／した, できる, しよう, Play tennis; 友達とテニスします。(I play tennis with a friend.)	verb	Japanese::Verbs::Tier3_LessCommon
散歩します	さんぽします, する, しない, して／した, できる, しよう, Take a walk; 公園を散歩します。(I take a walk in the park.)	verb	Japanese::Verbs::Tier3_LessCommon
研究します	けんきゅうします, する, しない, して／した, できる, しよう, Research; ロボットを研究します。(I research robots.)	verb	Japanese::Verbs::Tier3_LessCommon
出張します	しゅっちょうします, する, しない, して／した, できる, しよう, Do business trip; 大阪に出張します。(I go on a business trip to Osaka.)	verb	Japanese::Verbs::Tier3_LessCommon
故障します	こしょうします, する, しない, して／した, できる, しよう, Break down; 車が故障します。(The car breaks down.)	verb	Japanese::Verbs::Tier3_LessCommon
案内します	あんないします, する, しない, して／した, できる, しよう, Guide; 道を案内します。(I show the way.)	verb	Japanese::Verbs::Tier3_LessCommon
じろじろ見ます	じろじろみます, みる, みない, みて／た, みられます, みよう, Stare at; 知らない人をじろじろ見ます。(I stare at strangers.)	verb	Japanese::Verbs::Tier3_LessCommon
いい	いいです, よくない, よくて, よかった, よくなかった, Good; 天気がいいです。(The weather is good.)	adjective	Japanese::Adjectives::Tier1_Essential
悪い	わるいです, わるくない, わるくて, わるかった, わるくなかった, Bad; 天気が悪いです。(The weather is bad.)	adjective	Japanese::Adjectives::Tier1_Essential
大きい	おおきいです, おおきくない, おおきくて, おおきかった, おおきくなかった, Big; この家は大きいです。(This house is big.)	adjective	Japanese::Adjectives::Tier1_Essential
小さい	ちいさいです, ちいさくない, ちいさくて, ちいさかった, ちいさくなかった, Small; この部屋は小さいです。(This room is small.)	adjective	Japanese::Adjectives::Tier1_Essential
高い	たかいです, たかくない, たかくて, たかかった, たかくなかった, High/Expensive; このかばんは高いです。(This bag is expensive.)	adjective	Japanese::Adjectives::Tier1_Essential
安い	やすいです, やすくない, やすくて, やすかった, やすくなかった, Cheap; この店は安いです。(This shop is cheap.)	adjective	Japanese::Adjectives::Tier1_Essential
忙しい	いそがしいです, いそがしくない, いそがしくて, いそがしかった, いそがしくなかった, Busy; 今週は忙しいです。(I'm busy this week.)	adjective	Japanese::Adjectives::Tier1_Essential
新しい	あたらしいです, あたらしくない, あたらしくて, あたらしかった, あたらしくなかった, New; この車は新しいです。(This car is new.)	adjective	Japanese::Adjectives::Tier1_Essential
古い	ふるいです, ふるくない, ふるくて, ふるかった, ふるくなかった, Old; この建物は古いです。(This building is old.)	adjective	Japanese::Adjectives::Tier1_Essential
好き	すきです, すきじゃない, すきで, すきだった, すきじゃなかった, Like; 私は寿司が好きです。(I like sushi.)	adjective	Japanese::Adjectives::Tier1_Essential
嫌い	きらいです, きらいじゃない, きらいで, きらいだった, きらいじゃなかった, Dislike; 私は虫が嫌いです。(I dislike bugs.)	adjective	Japanese::Adjectives::Tier1_Essential
上手	じょうずです, じょうずじゃない, じょうずで, じょうずだった, じょうずじゃなかった, Good at; 彼はピアノが上手です。(He is good at piano.)	adjective	Japanese::Adjectives::Tier1_Essential
下手	へたです, へたじゃない, へたで, へただった, へたじゃなかった, Not good at; 私は料理が下手です。(I'm bad at cooking.)	adjective	Japanese::Adjectives::Tier1_Essential
大丈夫	だいじょうぶです, だいじょうぶじゃない, だいじょうぶで, だいじょうぶだった, だいじょうぶじゃなかった, Fine/Ok; 大丈夫です。(I'm fine.)	adjective	Japanese::Adjectives::Tier1_Essential
元気	げんきです, げんきじゃない, げんきで, げんきだった, げんきじゃなかった, Energetic; 彼は元気です。(He is energetic.)	adjective	Japanese::Adjectives::Tier1_Essential
きれい	きれいです, きれいじゃない, きれいで, きれいだった, きれいじゃなかった, Beautiful/Clean; この部屋はきれいです。(This room is clean.)	adjective	Japanese::Adjectives::Tier1_Essential
面白い	おもしろいです, おもしろくない, おもしろくて, おもしろかった, おもしろくなかった, Fun; この映画は面白いです。(This movie is fun.)	adjective	Japanese::Adjectives::Tier1_Essential
楽しい	たのしいです, たのしくない, たのしくて, たのしかった, たのしくなかった, Interesting; 旅行は楽しいです。(Traveling is fun.)	adjective	Japanese::Adjectives::Tier1_Essential
便利	べんりです, べんりじゃない, べんりで, べんりだった, べんりじゃなかった, Convenience; このアプリは便利です。(This app is convenient.)	adjective	Japanese::Adjectives::Tier1_Essential
大切	たいせつです, たいせつじゃない, たいせつで, たいせつだった, たいせつじゃなかった, Important; 家族が大切です。(Family is important.)	adjective	Japanese::Adjectives::Tier1_Essential
暑い	あついです, あつくない, あつくて, あつかった, あつくなかった, Hot; 今日は暑いです。(Today is hot.)	adjective	Japanese::Adjectives::Tier1_Essential
寒い	さむいです, さむくない, さむくて, さむかった, さむくなかった, Cold; 冬は寒いです。(Winter is cold.)	adjective	Japanese::Adjectives::Tier1_Essential
多い	おおいです, おおくない, おおくて, おおかった, おおくなかった, A lot/Much; 学生が多いです。(There are many students.)	adjective	Japanese::Adjectives::Tier1_Essential
少ない	すくないです, すくなくない, すくなくて, すくなかった, すくなくなかった, A little; 時間が少ないです。(There is little time.)	adjective	Japanese::Adjectives::Tier1_Essential
早い	はやいです, はやくない, はやくて, はやかった, はやくなかった, Fast/Early; 朝が早いです。(The morning is early.)	adjective	Japanese::Adjectives::Tier1_Essential
遅い	おそいです, おそくない, おそくて, おそかった, おそくなかった, Slow; 電車が遅いです。(The train is slow.)	adjective	Japanese::Adjectives::Tier1_Essential
近い	ちかいです, ちかくない, ちかくて, ちかかった, ちかくなかった, Near/Close; 駅は近いです。(The station is close.)	adjective	Japanese::Adjectives::Tier1_Essential
遠い	とおいです, とおくない, とおくて, とおかった, とおくなかった, Far; 学校は遠いです。(The school is far.)	adjective	Japanese::Adjectives::Tier1_Essential
長い	ながいです, ながくない, ながくて, ながかった, ながくなかった, Long; 髪が長いです。(My hair is long.)	adjective	Japanese::Adjectives::Tier1_Essential
短い	みじかいです, みじかくない, みじかくて, みじかかった, みじかくなかった, Short; スカートが短いです。(The skirt is short.)	adjective	Japanese::Adjectives::Tier1_Essential
重い	おもいです, おもくない, おもくて, おもかった, おもくなかった, Heavy; このかばんは重いです。(This bag is heavy.)	adjective	Japanese::Adjectives::Tier1_Essential
軽い	かるいです, かるくない, かるくて, かるかった, かるくなかった, Light; このかばんは軽いです。(This bag is light.)	adjective	Japanese::Adjectives::Tier1_Essential
強い	つよいです, つよくない, つよくて, つよかった, つよくなかった, Strong; 彼は強いです。(He is strong.)	adjective	Japanese::Adjectives::Tier1_Essential
弱い	よわいです, よわくない, よわくて, よわかった, よわくなかった, Weak; 私は数学が弱いです。(I'm weak at math.)	adjective	Japanese::Adjectives::Tier1_Essential
難しい	むずかしいです, むずかしくない, むずかしくて, むずかしかった, むずかしくなかった, Difficult; 日本語は難しいです。(Japanese is difficult.)	adjective	Japanese::Adjectives::Tier1_Essential
明るい	あかるいです, あかるくない, あかるくて, あかるかった, あかるくなかった, Bright; この部屋は明るいです。(This room is bright.)	adjective	Japanese::Adjectives::Tier1_Essential
暗い	くらいです, くらくない, くらくて, くらかった, くらくなかった, Dark; 夜は暗いです。(Night is dark.)	adjective	Japanese::Adjectives::Tier1_Essential
若い	わかいです, わかくない, わかくて, わかかった, わかくなかった, Young; 彼は若いです。(He is young.)	adjective	Japanese::Adjectives::Tier1_Essential
広い	ひろいです, ひろくない, ひろくて, ひろかった, ひろくなかった, Wide; 部屋が広いです。(The room is spacious.)	adjective	Japanese::Adjectives::Tier1_Essential
甘い	あまいです, あまくない, あまくて, あまかった, あまくなかった, Sweet; このケーキは甘いです。(This cake is sweet.)	adjective	Japanese::Adjectives::Tier1_Essential
辛い	からいです, からくない, からくて, からかった, からくなかった, Spicy; カレーが辛いです。(The curry is spicy.)	adjective	Japanese::Adjectives::Tier1_Essential
静か	しずかです, しずかじゃない, しずかで, しずかだった, しずかじゃなかった, Quiet; 図書館は静かです。(The library is quiet.)	adjective	Japanese::Adjectives::Tier2_Common
有名	ゆうめいです, ゆうめいじゃない, ゆうめいで, ゆうめいだった, ゆうめいじゃなかった, Famous; この店は有名です。(This shop is famous.)	adjective	Japanese::Adjectives::Tier2_Common
親切	しんせつです, しんせつじゃない, しんせつで, しんせつだった, しんせつじゃなかった, Kind; 彼女は親切です。(She is kind.)	adjective	Japanese::Adjectives::Tier2_Common
簡単	かんたんです, かんたんじゃない, かんたんで, かんたんだった, かんたんじゃなかった, Easy; この問題は簡単です。(This question is easy.)	adjective	Japanese::Adjectives::Tier2_Common
大変	たいへんです, たいへんじゃない, たいへんで, たいへんだった, たいへんじゃなかった, Hard; 仕事が大変です。(Work is tough.)	adjective	Japanese::Adjectives::Tier2_Common
無理	むりです, むりじゃない, むりで, むりだった, むりじゃなかった, Impossible; 今日は無理です。(Today is impossible for me.)	adjective	Japanese::Adjectives::Tier2_Common
同じ	おなじです, おなじじゃない, おなじで, おなじだった, おなじじゃなかった, Same; 私たちは同じクラスです。(We are in the same class.)	adjective	Japanese::Adjectives::Tier2_Common
心配	しんぱいです, しんぱいじゃない, しんぱいで, しんぱいだった, しんぱいじゃなかった, Worry; 天気が心配です。(I'm worried about the weather.)	adjective	Japanese::Adjectives::Tier2_Common
十分	じゅうぶんです, じゅうぶんじゃない, じゅうぶんで, じゅうぶんだった, じゅうぶんじゃなかった, Enough; これで十分です。(This is enough.)	adjective	Japanese::Adjectives::Tier2_Common
だめ	だめです, だめじゃない, だめで, だめだった, だめじゃなかった, Not good; それはだめです。(That's no good.)	adjective	Japanese::Adjectives::Tier2_Common
