#separator:tab
#html:true
#columns:Front	Back
開ける	あけます<br>あける<br>あけない<br>あけて／た<br>あけられます<br>あけよう<br>Open; 窓を開けます。(I open the window.)
教える	おしえます<br>おしえる<br>おしえない<br>おしえて／た<br>おしえられます<br>おしえよう<br>Teach; 日本語を教えます。(I teach Japanese.)
降りる	おります<br>おりる<br>おりない<br>おりて／た<br>おりられます<br>おりよう<br>Get off; バスを降ります。(I get off the bus.)
つける	つけます<br>つける<br>つけない<br>つけて／た<br>つけられます<br>つけよう<br>Turn on; 電気をつけます。(I turn on the light.)
電話をかける	でんわをかけます<br>かける<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Make a call; 友達に電話をかけます。(I make a call to my friend.)
忘れる	わすれます<br>わすれる<br>わすれない<br>わすれて／た<br>わすれられます<br>わすれよう<br>Forget; 宿題を忘れます。(I forget my homework.)
あげる	あげます<br>あげる<br>あげない<br>あげて／た<br>あげられます<br>あげよう<br>Give; 友達にプレゼントをあげます。(I give a present to my friend.)
疲れる	つかれます<br>つかれる<br>つかれない<br>つかれて／た<br>つかれられます<br>つかれよう<br>Get tired; 仕事で疲れます。(I get tired from work.)
出る	でます<br>でる<br>でない<br>でて／た<br>でられます<br>でよう<br>Leave; 家を出ます。(I leave the house.)
始める	はじめます<br>はじめる<br>はじめない<br>はじめて／た<br>はじめられます<br>はじめよう<br>Start; 仕事を始めます。(I start work.)
覚える	おぼえます<br>おぼえる<br>おぼえない<br>おぼえて／た<br>おぼえられます<br>おぼえよう<br>Memorize; 単語を覚えます。(I memorize vocabulary.)
調べる	しらべます<br>しらべる<br>しらべない<br>しらべて／た<br>しらべられます<br>しらべよう<br>Search/Look up; 言葉の意味を調べます。(I look up the meaning of a word.)
考える	かんがえます<br>かんがえる<br>かんがえない<br>かんがえて／た<br>かんがえられます<br>かんがえよう<br>Think; 将来のことを考えます。(I think about the future.)
勉強する	べんきょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Study; 日本語を勉強します。(I study Japanese.)
電話する	でんわします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Make a call; 母に電話します。(I call my mother.)
歌う	うたいます<br>うたう<br>うたわない<br>うたって／た<br>うたえます<br>うたおう<br>Sing; カラオケで歌います。(I sing at karaoke.)
はく	はきます<br>はく<br>はかない<br>はいて／た<br>はけます<br>はこう<br>Put on (shoes); 靴をはきます。(I put on shoes.)
切る	きります<br>きる<br>きらない<br>きって／た<br>きれます<br>きろう<br>Cut; 紙を切ります。(I cut the paper.)
貸す	かします<br>かす<br>かさない<br>かして／た<br>かせます<br>かそう<br>Lend/Rent; 本を貸します。(I lend a book.)
習う	ならいます<br>ならう<br>ならわない<br>ならって／た<br>ならえます<br>ならおう<br>Learn; 日本語を習います。(I learn Japanese.)
消す	けします<br>けす<br>けさない<br>けして／た<br>けせます<br>けそう<br>Turn off; 電気を消します。(I turn off the light.)
立つ	たちます<br>たつ<br>たたない<br>たって／た<br>たてます<br>たとう<br>Stand; ここに立ちます。(I stand here.)
座る	すわります<br>すわる<br>すわない<br>すわって／た<br>すわれます<br>すわろう<br>Sit; いすに座ります。(I sit on the chair.)
急ぐ	いそぎます<br>いそぐ<br>いそがない<br>いそいで／だ<br>いそげます<br>いそごう<br>Hurry; 駅まで急ぎます。(I hurry to the station.)
手伝う	てつだいます<br>てつだう<br>てつだわない<br>てつだって／た<br>てつだえます<br>てつだおう<br>Help; 母を手伝います。(I help my mother.)
呼ぶ	よびます<br>よぶ<br>よばない<br>よんで／だ<br>よべます<br>よぼう<br>Call; 名前を呼びます。(I call out a name.)
降る	ふります<br>ふる<br>ふらない<br>ふって／た<br>×<br>×<br>Fall; 雨が降ります。(It rains.)
売る	うります<br>うる<br>うらない<br>うって／た<br>うれます<br>うろう<br>Sell; 車を売ります。(I sell the car.)
思い出す	おもいだします<br>おもいだす<br>おもいださない<br>おもいだして／た<br>おもいだせます<br>おもいだそう<br>Remember; 昔のことを思い出します。(I remember the past.)
なくす	なくします<br>なくす<br>なくさない<br>なくして／た<br>×<br>×<br>Lose; 鍵をなくしました。(I lost my key.)
払う	はらいます<br>はらう<br>はらわない<br>はらって／た<br>はらえます<br>はらおう<br>Pay; お金を払います。(I pay money.)
返す	かえします<br>かえす<br>かえさない<br>かえして／た<br>かせます<br>かえそう<br>Return; 本を返します。(I return the book.)
脱ぐ	ぬぎます<br>ぬぐ<br>ぬがない<br>ぬいで／だ<br>ぬげます<br>ぬごう<br>Take off; 靴を脱ぎます。(I take off my shoes.)
洗う	あらいます<br>あらう<br>あらわない<br>あらって／た<br>あらえます<br>あらおう<br>Wash; 手を洗います。(I wash my hands.)
勝つ	かちます<br>かつ<br>かたない<br>かって／た<br>かてます<br>かとう<br>Win; 試合に勝ちます。(I win the match.)
動く	うごきます<br>うごく<br>うごかない<br>うごいて／た<br>うごけます<br>うごこう<br>Move; 車が動きます。(The car moves.)
渡る	わたります<br>わたる<br>わたらない<br>わたって／た<br>わたれます<br>わたろう<br>Cross; 道を渡ります。(I cross the street.)
曲がる	まがります<br>まがる<br>まがらない<br>まがって／た<br>まがれます<br>まがろう<br>Turn a corner; 右に曲がります。(I turn right.)
直す	なおします<br>なおす<br>なおさない<br>なおして／た<br>なおせます<br>なおそう<br>Repair; 時計を直します。(I fix the clock.)
探す	さがします<br>さがす<br>さがさない<br>さがして／た<br>さがせます<br>さがそう<br>Look for; 仕事を探します。(I look for a job.)
間に合う	まにあいます<br>まにあう<br>まにあわない<br>まにあって／た<br>まにあえます<br>まにあおう<br>In time; 電車に間に合います。(I make it in time for the train.)
借りる	かります<br>かりる<br>かりない<br>かりて／た<br>かりられます<br>かりよう<br>Borrow; 本を借ります。(I borrow a book.)
閉める	しめます<br>しめる<br>しめない<br>しめて／た<br>しめられます<br>しめよう<br>Close; ドアを閉めます。(I close the door.)
捨てる	すてます<br>すてる<br>すてない<br>すてて／た<br>すてられます<br>すてよう<br>Throw away; ゴミを捨てます。(I throw away the trash.)
止める	とめます<br>とめる<br>とめない<br>とめて／た<br>とめられます<br>とめよう<br>Stop; 車を止めます。(I stop the car.)
見せる	みせます<br>みせる<br>みせない<br>みせて／た<br>みせられます<br>みせよう<br>Show; 写真を見せます。(I show a photo.)
浴びる	あびます<br>あびる<br>あびない<br>あびて／た<br>あびられます<br>あびよう<br>Take a shower; シャワーを浴びます。(I take a shower.)
集める	あつめます<br>あつめる<br>あつめない<br>あつめて／た<br>あつめられます<br>あつめよう<br>Collect; 切手を集めます。(I collect stamps.)
変える	かえます<br>かえる<br>かえない<br>かえて／た<br>かえられます<br>かえよう<br>Change; 予定を変えます。(I change the plan.)
負ける	まけます<br>まける<br>まけない<br>まけて／た<br>まけられます<br>まけよう<br>Lose; 試合に負けます。(I lose the match.)
やめる	やめます<br>やめる<br>やめない<br>やめて／た<br>やめられます<br>やめよう<br>Quit; 仕事をやめます。(I quit my job.)
気をつける	きをつけます<br>きをつける<br>きをつけない<br>きをつけて／た<br>きをつけられます<br>きをつけよう<br>Watch out; 車に気をつけます。(I watch out for cars.)
生まれる	うまれます<br>うまれる<br>うまれない<br>うまれて／た<br>うまれられます<br>うまれよう<br>Born; 東京で生まれました。(I was born in Tokyo.)
足りる	たります<br>たりる<br>たりない<br>たりて／た<br>×<br>×<br>It's enough; お金が足ります。(The money is enough.)
遅れる	おくれます<br>おくれる<br>おくれない<br>おくれて／た<br>おくれられます<br>おくれよう<br>Be late; 電車が遅れます。(The train is late.)
持ってくる	もってきます<br>もってくる<br>もってこない<br>もってきて／た<br>もってこられます<br>もってこよう<br>Bring a thing; 傘を持ってきます。(I bring an umbrella.)
料理する	りょうりします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Cook; 晩ご飯を料理します。(I cook dinner.)
運転する	うんてんします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Drive; 車を運転します。(I drive a car.)
洗濯する	せんたくします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Wash the clothes; 週末に洗濯します。(I do laundry on weekends.)
掃除する	そうじします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Clean up; 部屋を掃除します。(I clean the room.)
宿題する	しゅくだいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do homework; 毎日宿題します。(I do homework every day.)
買い物する	かいものします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do shopping; スーパーで買い物します。(I shop at the supermarket.)
食事する	しょくじします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Have meal; レストランで食事します。(I have a meal at a restaurant.)
心配する	しんぱいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Worry; 将来を心配します。(I worry about the future.)
練習する	れんしゅうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Practice; ピアノを練習します。(I practice the piano.)
紹介する	しょうかいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Introduce; 友達を紹介します。(I introduce a friend.)
準備する	じゅんびします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Prepare; 晩ご飯を準備します。(I prepare dinner.)
泳ぐ	およぎます<br>およぐ<br>およがない<br>およいで／た<br>およげます<br>およごう<br>Swim; プールで泳ぎます。(I swim in the pool.)
かぶる	かぶります<br>かぶる<br>かぶらない<br>かぶって／た<br>かぶれます<br>かぶろう<br>Put on a hat; 帽子をかぶります。(I put on a hat.)
吸う	すいます<br>すう<br>すわない<br>すって／た<br>すえます<br>すおう<br>Smoke; タバコを吸います。(I smoke.)
弾く	ひきます<br>ひく<br>ひかない<br>ひいて／た<br>ひけます<br>ひこう<br>Play instrumental; ピアノを弾きます。(I play the piano.)
登る	のぼります<br>のぼる<br>のぼらない<br>のぼって／た<br>のぼれます<br>のぼろう<br>Climb; 山に登ります。(I climb the mountain.)
泊まる	とまります<br>とまる<br>とまらない<br>とまって／た<br>とまれます<br>とまろう<br>Stay (at hotel); ホテルに泊まります。(I stay at a hotel.)
役に立つ	やくにたちます<br>やくにたつ<br>やくにたたない<br>やくにたって／た<br>やくにたてます<br>やくにたとう<br>Useful; この本は役に立ちます。(This book is useful.)
年を取る	としをとります<br>としをとる<br>としをとらない<br>としをとって／た<br>としをとれます<br>としをとろう<br>Get old; 毎年年を取ります。(I get older every year.)
めがねをかける	めがねをかけます<br>かける<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Put on glasses; 本を読むとき、めがねをかけます。(I put on glasses when I read a book.)
連れてくる	つれてきます<br>つれてくる<br>つれてこない<br>つれてきて／た<br>つれてこられます<br>つれてこよう<br>Take a person; 子供を連れてきます。(I bring my child along.)
テニスする	テニスします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Play tennis; 友達とテニスします。(I play tennis with a friend.)
散歩する	さんぽします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Take a walk; 公園を散歩します。(I take a walk in the park.)
研究する	けんきゅうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Research; ロボットを研究します。(I research robots.)
出張する	しゅっちょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do business trip; 大阪に出張します。(I go on a business trip to Osaka.)
故障する	こしょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Break down; 車が故障します。(The car breaks down.)
案内する	あんないします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Guide; 道を案内します。(I show the way.)
じろじろ見る	じろじろみます<br>みる<br>みない<br>みて／た<br>みられます<br>みよう<br>Stare at; 知らない人をじろじろ見ます。(I stare at strangers.)
